id,state,start_date,end_date,race_type,special,primary_type,primary_note,prez,senate,house,gov,state_officers,state_leg,portal_link,direct_links,county_level,county_level_status,precinct_level,precinct_level_status,cong_dist_level,cong_dist_level_status,state_leg_level,state_leg_level_status,state_level,state_level_status,result_type,absentee_and_provisional,user_fullname
1835,WI,2011-07-19,2011-07-19,general-recall,False,,,False,False,False,False,False,True,http://elections.wi.gov/elections-voting/results/2011/recall-SD-30,http://elections.wi.gov/files/Ward%20Results_7.19.11%20Recall%20Election_Senate%2030_0.xls,False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
1836,WI,2011-07-19,2011-07-19,primary-recall,False,open,,False,False,False,False,False,True,http://elections.wi.gov/elections-voting/results/2011/July-19-primary,"http://elections.wi.gov/files/Ward%20Results_7.19.11_Recall%20Primary_Senate%2012.xls, 
http://elections.wi.gov/files/Ward%20Results_7.19.11%20Recall%20Primary_Senate%2022.xls",False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
1837,WI,2011-07-12,2011-07-12,primary,True,open,,False,False,False,False,False,True,http://elections.wi.gov/elections-voting/results/2011/special-AD48-primary,http://elections.wi.gov/files/Ward%20Results%20Assm%2048%20Special%20Primary.xls,False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
1838,WI,2011-07-12,2011-07-12,primary-recall,False,open,,False,False,False,False,False,True,http://elections.wi.gov/elections-voting/results/2011/July-12-primary,"http://elections.wi.gov/files/Ward%20Results%20Senate%202%20Recall%20primary_0.xls, 
http://elections.wi.gov/files/Ward%20Results%20Senate%208%20Recall%20Primary.xls, 
http://elections.wi.gov/files/Ward%20Results%20Senate%2010%20Recall%20Primary.xls, 
http://elections.wi.gov/files/Ward%20Results%20Senate%2014%20Recall%20Primary.xls, 
http://elections.wi.gov/files/Ward%20Results%20Senate%2018%20Recall%20Primary.xls, 
http://elections.wi.gov/files/Ward%20Results%20Senate%2032%20Recall%20Primary.xls",False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
419,WI,2011-05-03,2011-05-03,general,True,,,False,False,False,False,False,True,https://elections.wi.gov/elections-voting/results/2011/spring-special,https://elections.wi.gov/files/Ward%20results%205-3-11%20Special%20Election.xls,True,,True,,False,,False,,False,,certified,True,"Vestal, Alan James"
421,WI,2011-04-05,2011-04-05,general,False,,,False,False,False,False,True,False,http://elections.wi.gov/elections-voting/results/2011/spring,"http://elections.wi.gov/files/Ward%20results_4.5.11_appeals.xls, 
http://elections.wi.gov/files/Ward%20results_4.5.11_circuit_Sheboygan%203%20recount%20pending.xls, 
https://elections.wi.gov/files/WARD_BY_WARD_FOR_SPRING_2011_ELECTION_AND_RECOUNT.xls",True,,True,,False,,False,,False,,certified,True,"Davies, Nick"
422,WI,2011-04-05,2011-04-05,primary,True,closed,,False,False,False,False,False,True,https://elections.wi.gov/elections-voting/results/2011/spring-special-primary,http://elections.wi.gov/files/page/wxw_assm_60_94_pdf_16250.pdf,True,,True,,False,,False,,False,,certified,True,"Davies, Nick"
1850,WI,2011-02-15,2011-02-15,primary,False,other,Nonpartisan,False,False,False,False,True,False,http://elections.wi.gov/elections-voting/results/2011/spring-primary,http://elections.wi.gov/files/2011%20Spring%20Primary%20Ward-by-Ward%202.15.11%20excel.xls,False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
424,WI,2010-11-02,2010-11-02,general,False,,,False,True,True,True,True,True,https://elections.wi.gov/elections-voting/results/2010/fall-general,https://elections.wi.gov/files/2010%20Fall%20General%20-%20All%20Races%20-%20Ward-by-Ward.xls,True,,True,,False,,False,,False,,certified,True,"Davies, Nick"
425,WI,2010-09-14,2010-09-14,primary,False,closed,,False,True,True,True,True,True,https://elections.wi.gov/elections-voting/results/2010/fall-primary,http://elections.wi.gov/files/Primary%20wxw%20results.xls,True,,True,,False,,False,,False,,certified,True,"Davies, Nick"
426,WI,2010-04-06,2010-04-06,general,False,,,False,False,False,False,True,False,http://elections.wi.gov/elections-voting/results/2010/spring-election,"https://elections.wi.gov/files/04_06_10%20APPEALS_T.xls, 
https://elections.wi.gov/files/04_06_10%20CIRCUIT_T.xls",True,,True,,False,,False,,False,,certified,False,"Davies, Nick"
427,WI,2010-02-16,2010-02-16,primary,False,closed,,False,False,False,False,False,False,http://elections.wi.gov/elections-voting/results/2010/spring-primary,"https://elections.wi.gov/files/2010_SpringElection_Primary_CtofAppeals-4_WardbyWard.xls, 
https://elections.wi.gov/files/2010_SpringElection_Primary_CircuitCt_WardbyWard.xls",True,,True,,False,,False,,False,,certified,True,"Davies, Nick"
428,WI,2009-04-07,2009-04-07,general,False,,,False,False,False,False,True,False,http://elections.wi.gov/elections-voting/results/2009/spring-election,"https://elections.wi.gov/files/2009_SpringElection_CtofAppeals-1_WardbyWard.xls, 
https://elections.wi.gov/files/2009_SpringElection_Sup.ofPI_WardbyWard.xls, 
https://elections.wi.gov/files/2009_SpringElection_SupCt_WardbyWard.xls, 
https://elections.wi.gov/files/2009_SpringElection_CircuitCt_WardbyWard.xls",True,,True,,False,,False,,False,,certified,True,"Davies, Nick"
429,WI,2009-02-17,2009-02-17,primary,False,closed,,False,False,False,False,True,False,http://elections.wi.gov/elections-voting/results/2009/spring-primary,"https://elections.wi.gov/files/2009_SpringElection_Primary_CircuitCt_WardbyWard.xls, 
https://elections.wi.gov/files/2009_SpringElection_Primary_Sup.ofPI_WardbyWard.xls",True,,True,,False,,False,,False,,certified,True,"Davies, Nick"
